epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,642.178,0.98024,1.02732,1.29513,0.63293,0.42926,0.46284,0.30127,1.1195,1.10857,1.52677,0.005743,0.005743,0.005743
45,656.833,0.95563,1.05967,1.28509,0.39071,0.45616,0.43451,0.28897,1.05277,1.06915,1.48802,0.005644,0.005644,0.005644
46,671.477,0.95358,1.03943,1.27914,0.24151,0.43677,0.39686,0.26985,1.07703,1.06092,1.49995,0.005545,0.005545,0.005545
47,686.115,0.94156,1.02218,1.26708,0.76107,0.28588,0.37284,0.25773,1.08807,1.06633,1.50022,0.005446,0.005446,0.005446
48,700.803,0.94809,1.00229,1.27425,0.40284,0.4185,0.40961,0.27584,1.06594,1.10049,1.49112,0.005347,0.005347,0.005347
49,715.371,0.93786,1.00455,1.26827,0.42154,0.45114,0.43596,0.28493,1.09204,1.02759,1.51463,0.005248,0.005248,0.005248
50,729.026,0.92254,1.00886,1.25587,0.41014,0.55641,0.51048,0.3328,1.06386,0.93846,1.48324,0.005149,0.005149,0.005149
51,741.863,0.89706,0.95925,1.23568,0.37311,0.54001,0.49461,0.324,1.06138,0.89615,1.47136,0.00505,0.00505,0.00505
52,754.733,0.90285,0.94215,1.24282,0.41212,0.49464,0.478,0.33383,1.05025,0.93783,1.45902,0.004951,0.004951,0.004951
53,767.592,0.89385,0.92402,1.24069,0.29677,0.50301,0.46469,0.29736,1.06829,0.991,1.48891,0.004852,0.004852,0.004852
54,780.462,0.91215,0.94066,1.25335,0.34574,0.54307,0.49198,0.32072,1.0567,0.94886,1.47753,0.004753,0.004753,0.004753
55,793.333,0.90221,0.9441,1.23721,0.52708,0.4555,0.45375,0.30497,1.03573,0.90741,1.47597,0.004654,0.004654,0.004654
56,806.264,0.87954,0.9312,1.22138,0.49618,0.45567,0.45882,0.30116,1.10318,1.04718,1.51863,0.004555,0.004555,0.004555
57,819.211,0.87656,0.93341,1.22328,0.36621,0.53061,0.47202,0.30972,1.09706,1.02351,1.50224,0.004456,0.004456,0.004456
58,832.141,0.87092,0.90764,1.23443,0.31216,0.5105,0.4447,0.31317,1.00839,0.94101,1.44351,0.004357,0.004357,0.004357
59,845.113,0.87514,0.90623,1.2277,0.31021,0.6103,0.49378,0.33433,1.01584,0.91056,1.43776,0.004258,0.004258,0.004258
60,858.117,0.87583,0.91222,1.2216,0.53803,0.45216,0.50445,0.33246,1.04253,0.89073,1.46879,0.004159,0.004159,0.004159
